Group,Weighting,Subsystem,ncount,mae,rmae,rmse,rrmse,ssr,rsq
Elastic_BCC,Unweighted,Combined,1300,77.46029313361078,0.0002932426076523892,180.31426868298075,0.0003745860524563607,42267206.13788162,0.9999998596852893
Elastic_BCC,Unweighted,Energy,100,0.006411486157015105,0.11148430065562276,0.006447354546424986,0.09348075127655443,0.004156838064730693,0.991261349140771
Elastic_BCC,Unweighted,Force,600,7.27229259728639e-05,0.4299831224146044,0.00010001876748081808,0.43221259835717657,6.002252309029171e-06,0.8131922698213381
Elastic_BCC,Unweighted,Stress,600,167.82949381887119,0.0002937911364614417,265.4154169527422,0.00046457601798351574,42267206.13371879,0.9999997841691235
Elastic_BCC,Weighted,Combined,1300,0.00774597664306158,0.00029324203497034827,0.01803142686741005,0.0003745855068871185,0.42267206133718416,0.999999859685698
Elastic_BCC,Weighted,Energy,100,6.411486157014952e-11,0.11148430065562005,6.44735454642483e-11,0.09348075127655199,4.1568380647304928e-19,0.9912613491407715
Elastic_BCC,Weighted,Force,600,7.27229259728639e-13,0.4299831224146044,1.0001876748081808e-12,0.43221259835717657,6.002252309029171e-22,0.813192269821338
Elastic_BCC,Weighted,Stress,600,0.01678294938188705,0.0002937911364614405,0.0265415416952741,0.00046457601798351357,0.42267206133718416,0.9999997841691235
Elastic_FCC,Unweighted,Combined,1900,15209.703762055047,0.09058748223033904,37555.730153642464,0.09694656343388738,2679822448009.0986,0.9906013638383593
Elastic_FCC,Unweighted,Energy,100,0.0036179521705458836,0.08465426751372646,0.004460509700432584,0.08172613705381243,0.001989614678765318,0.9933208385222615
Elastic_FCC,Unweighted,Force,1200,9.641815396397495e-05,0.3700451054408354,0.00014071144791842516,0.3934514221091816,2.375965389035961e-05,0.8451959784402626
Elastic_FCC,Unweighted,Stress,600,48164.06111734598,0.09067860300965908,66830.91161043539,0.12581124186388387,2679822448009.097,0.9841715314206673
Elastic_FCC,Weighted,Combined,1900,1.5209703762055049e-05,0.09058748223033905,3.7555730153642465e-05,0.09694656343388738,2.679822448009099e-06,0.9906013638383593
Elastic_FCC,Weighted,Energy,100,3.6179521705456615e-12,0.08465426751372143,4.46050970043239e-12,0.08172613705380907,1.9896146787651454e-21,0.993320838522262
Elastic_FCC,Weighted,Force,1200,9.641815396397496e-14,0.3700451054408354,1.4071144791842517e-13,0.39345142210918166,2.3759653890359616e-23,0.8451959784402626
Elastic_FCC,Weighted,Stress,600,4.816406111734598e-05,0.09067860300965909,6.68309116104354e-05,0.12581124186388384,2.679822448009097e-06,0.9841715314206674
GSF_110,Unweighted,Combined,1738,123.2645200340388,0.005475980893462817,639.9480892508557,0.005664070602221328,711769321.9544573,0.999967918304213
GSF_110,Unweighted,Energy,22,0.0065241779700033345,0.5328112549405885,0.008829997023670298,0.4695402230841083,0.0017153146436365788,0.7795319789061259
GSF_110,Unweighted,Force,1584,0.026503600234490388,0.05340666685469695,0.05418203196502742,0.03318541108584874,4.650137059169057,0.9988987284910632
GSF_110,Unweighted,Stress,132,1622.6637165490351,0.005487696349787939,2322.1093423323127,0.007847549962125128,711769317.3026049,0.999938415959592
GSF_110,Weighted,Combined,1738,0.03241486548995787,0.0015347884898340202,0.11200465315500563,0.0006135969701737406,21.803283566712466,0.9999996234987582
GSF_110,Weighted,Energy,22,0.6524177970003702,0.5328112549406209,0.8829997023670475,0.46954022308411825,17.153146436366477,0.7795319789061165
GSF_110,Weighted,Force,1584,0.026503600234490388,0.05340666685469695,0.05418203196502742,0.03318541108584874,4.650137059169057,0.9988987284910632
GSF_110,Weighted,Stress,132,1.6226637165490366e-05,0.0054876963497879445,2.322109342332316e-05,0.00784754996212514,7.117693173026068e-08,0.999938415959592
GSF_112,Unweighted,Combined,2134,128.02149646736788,0.007359250574545635,775.0329697164597,0.007972303684043554,1281842806.2507963,0.9999364423739694
GSF_112,Unweighted,Energy,22,0.00868358217611503,0.4363846767555611,0.009615549001333715,0.3561442781760301,0.0020340932171350958,0.8731612531224745
GSF_112,Unweighted,Force,1980,0.056980631490073576,0.07915602187033415,0.10026115908025683,0.051283900044833304,19.9035540398308,0.9973699615961915
GSF_112,Unweighted,Stress,132,2068.8247028197334,0.007384907601712272,3116.2365442284563,0.011114886804379167,1281842786.3452082,0.9998764592913258
GSF_112,Weighted,Combined,2134,0.06182205341443616,0.0035693615745460575,0.1373270170972209,0.0008416302277601529,40.24448633936673,0.9999992916585597
GSF_112,Weighted,Energy,22,0.8683582176115165,0.43638467675556786,0.9615549001333877,0.3561442781760356,20.340932171351643,0.8731612531224706
GSF_112,Weighted,Force,1980,0.056980631490073576,0.07915602187033415,0.10026115908025683,0.051283900044833304,19.9035540398308,0.9973699615961915
GSF_112,Weighted,Stress,132,2.0688247028197373e-05,0.007384907601712286,3.1162365442284626e-05,0.01111488680437919,1.2818427863452136e-07,0.9998764592913258
Liquid,Unweighted,Combined,921,839.2164299494598,0.0849677860049075,8187.377431918319,0.08305755694573075,61737530424.88326,0.9931014422342067
Liquid,Unweighted,Energy,3,0.005668041920031305,0.06830984726718611,0.0065558870055263795,0.06313851463001688,0.00012893896328768892,0.9960135279703152
Liquid,Unweighted,Force,900,0.3537949738699937,0.21706931721268724,0.4836463504201701,0.22848787527874223,210.522413047275,0.9477932908506059
Liquid,Unweighted,Stress,18,42922.21663904687,0.0858625331125478,58565.03043358473,0.11712300173384015,61737530214.36071,0.9862822024648549
Liquid,Weighted,Combined,921,0.35435844648420395,0.013648226995218782,0.5090309167931996,0.0011940321980299666,238.6425887854706,0.99999857428711
Liquid,Weighted,Energy,3,2.6469755766541616,0.06830984726717473,3.0615992315804808,0.06313851463001026,28.12016956444257,0.996013527970316
Liquid,Weighted,Force,900,0.3537949738699937,0.21706931721268724,0.4836463504201701,0.22848787527874223,210.522413047275,0.9477932908506059
Liquid,Weighted,Stress,18,0.00042922216639046856,0.08586253311254777,0.0005856503043358473,0.11712300173384012,6.17375302143607e-06,0.9862822024648549
Surface,Unweighted,Combined,757,128.17482248503555,0.008048866144757283,1007.5740646170598,0.010684218244842347,768510560.2365298,0.9998858474804966
Surface,Unweighted,Energy,7,0.013523175893621493,0.12544472568693546,0.01571229180244145,0.10877430549456425,0.0017281327957954814,0.9881681504641752
Surface,Unweighted,Force,708,0.047601034102593545,0.0821986332567984,0.10895429304445137,0.057286047251891424,8.404694884753857,0.996718308790254
Surface,Unweighted,Stress,42,2309.393914923715,0.008053134702958487,4277.600996080538,0.014892290712476575,768510551.8301069,0.999778219677335
Surface,Weighted,Combined,757,0.05702605708799897,0.003685312730771042,0.18420460925490428,0.0011916528700560774,25.686022919559235,0.9999985799634373
Surface,Weighted,Energy,7,1.3523175893621036,0.12544472568693113,1.5712291802441227,0.1087743054945627,17.281327957954325,0.9881681504641755
Surface,Weighted,Force,708,0.047601034102593545,0.0821986332567984,0.10895429304445137,0.057286047251891424,8.404694884753857,0.996718308790254
Surface,Weighted,Stress,42,2.3093939149237067e-05,0.008053134702958459,4.277600996080534e-05,0.014892290712476565,7.685105518301053e-08,0.999778219677335
Volume_A15,Unweighted,Combined,930,25729.7683723699,0.14591045265570599,157241.28273785388,0.19482266434545137,22994083527252.5,0.9620441294573396
Volume_A15,Unweighted,Energy,30,0.24579115592132886,0.04143605360121641,0.34489092190721454,0.046767585352354465,3.5684924404202505,0.9978127929603102
Volume_A15,Unweighted,Force,720,4.0355165364861315e-15,0.6855499441463944,1.0604368151903469e-14,0.4662121957272837,8.09658892087953e-26,0.782646188555145
Volume_A15,Unweighted,Stress,180,132937.09562538515,0.1459108697371504,357414.1973743017,0.2176684727644642,22994083527248.93,0.9526204359643857
Volume_A15,Weighted,Combined,930,0.00795447672564778,0.014240621072645563,0.06194443776832727,0.018585549065435834,3.5685154345037775,0.9996545773659363
Volume_A15,Weighted,Energy,30,0.24579115592132886,0.04143605360121641,0.34489092190721454,0.046767585352354465,3.5684924404202505,0.9978127929603102
Volume_A15,Weighted,Force,720,4.035516536486131e-24,0.6855499441463944,1.060436815190347e-23,0.46621219572728373,8.096588920879532e-44,0.7826461885551449
Volume_A15,Weighted,Stress,180,0.00013293709562538515,0.14591086973715037,0.00035741419737430165,0.2176684727644642,2.299408352724893e-05,0.9526204359643857
Volume_BCC,Unweighted,Combined,273,125293.46624739266,0.12633008437665336,523595.1570328834,0.15247265542067837,74843465551843.12,0.9767520893489671
Volume_BCC,Unweighted,Energy,21,0.32859811817489176,0.03299487234509859,0.5127301630167898,0.03823241649285731,5.520736621411701,0.9985382823291167
Volume_BCC,Unweighted,Force,126,3.382717651236964e-15,1.4474512021999115,6.988391256279194e-15,0.921158461301385,6.1535391562057754e-27,0.151467089172865
