Group,Weighting,Subsystem,ncount,mae,rmae,rmse,rrmse,ssr,rsq
Displaced_FCC,Weighted,Forces,1296,0.057407020558990454,0.13458538694183222,0.07166306670237414,0.13923907519773146,6.655731287428846,0.9806124799380805
Displaced_FCC,Weighted,Stress,54,0.0003532855472524503,0.06695319224837493,0.0004969158621174263,0.09417306301179959,1.3333970197290871e-05,0.9911314342029757
Elastic_BCC,Unweighted,Combined,1300,77.46029313369347,0.0002932426076527022,180.31426868291882,0.00037458605245623206,42267206.13785259,0.9999998596852893
Elastic_BCC,Unweighted,Energy,100,0.006411486157025551,0.11148430065580428,0.006447354546435331,0.09348075127670431,0.004156838064744033,0.9912613491407429
Elastic_BCC,Unweighted,Forces,600,7.272292597304921e-05,0.4299831224157002,0.0001000187674809893,0.4322125983579165,6.002252309049722e-06,0.8131922698206984
Elastic_BCC,Unweighted,Stress,600,167.8294938190504,0.0002937911364617555,265.41541695265096,0.00046457601798335603,42267206.13368974,0.9999997841691235
Elastic_BCC,Weighted,Combined,1300,0.007745976643069888,0.00029324203497066285,0.01803142686740376,0.0003745855068869878,0.42267206133688917,0.999999859685698
Elastic_BCC,Weighted,Energy,100,6.411486157025382e-11,0.1114843006558013,6.447354546435153e-11,0.09348075127670152,4.156838064743805e-19,0.9912613491407435
Elastic_BCC,Weighted,Forces,600,7.272292597304922e-13,0.42998312241570014,1.0001876748098931e-12,0.43221259835791653,6.002252309049723e-22,0.8131922698206984
Elastic_BCC,Weighted,Stress,600,0.016782949381905048,0.00029379113646175553,0.02654154169526484,0.00046457601798335153,0.4226720613368892,0.9999997841691235
Elastic_FCC,Unweighted,Combined,1900,15209.703762050167,0.09058748223030999,37555.73015363029,0.09694656343385596,2679822448007.362,0.9906013638383654
Elastic_FCC,Unweighted,Energy,100,0.0036179521705476244,0.08465426751376726,0.004460509700432052,0.08172613705380273,0.001989614678764844,0.993320838522263
Elastic_FCC,Unweighted,Forces,1200,9.641815396393939e-05,0.3700451054408108,0.00014071144791840795,0.3934514221091527,2.3759653890353797e-05,0.8451959784402854
Elastic_FCC,Unweighted,Stress,600,48164.06111733052,0.09067860300962997,66830.91161041374,0.12581124186384307,2679822448007.36,0.9841715314206776
Elastic_FCC,Weighted,Combined,1900,1.5209703762050167e-05,0.09058748223030998,3.7555730153630295e-05,0.09694656343385596,2.6798224480073623e-06,0.9906013638383654
Elastic_FCC,Weighted,Energy,100,3.6179521705473817e-12,0.08465426751376182,4.460509700431801e-12,0.08172613705379833,1.9896146787646203e-21,0.9933208385222637
Elastic_FCC,Weighted,Forces,1200,9.641815396393939e-14,0.37004510544081076,1.4071144791840796e-13,0.3934514221091527,2.3759653890353798e-23,0.8451959784402854
Elastic_FCC,Weighted,Stress,600,4.816406111733053e-05,0.09067860300963,6.683091161041373e-05,0.12581124186384304,2.6798224480073597e-06,0.9841715314206776
GSF_110,Unweighted,Combined,1738,123.26452003398522,0.0054759808934604385,639.9480892506219,0.005664070602219259,711769321.9539372,0.999967918304213
GSF_110,Unweighted,Energy,22,0.006524177970007696,0.5328112549409658,0.008829997023675039,0.4695402230843664,0.001715314643638421,0.7795319789058834
GSF_110,Unweighted,Forces,1584,0.026503600234503565,0.053406666854723506,0.05418203196503158,0.033185411085851296,4.650137059169771,0.9988987284910631
GSF_110,Unweighted,Stress,132,1622.6637165483296,0.005487696349785553,2322.1093423314646,0.007847549962122263,711769317.3020849,0.999938415959592
GSF_110,Weighted,Combined,1738,0.03241486548997537,0.0015347884898348494,0.11200465315505424,0.0006135969701740072,21.8032835667314,0.9999996234987582
GSF_110,Weighted,Energy,22,0.6524177970008043,0.5328112549409935,0.8829997023675162,0.4695402230843726,17.153146436384688,0.7795319789058777
GSF_110,Weighted,Forces,1584,0.026503600234503565,0.053406666854723506,0.05418203196503158,0.033185411085851296,4.650137059169771,0.9988987284910631
GSF_110,Weighted,Stress,132,1.6226637165483305e-05,0.005487696349785557,2.322109342331465e-05,0.007847549962122264,7.11769317302085e-08,0.999938415959592
GSF_112,Unweighted,Combined,2134,128.021496467387,0.007359250574546735,775.0329697166236,0.00797230368404524,1281842806.2513387,0.9999364423739694
GSF_112,Unweighted,Energy,22,0.00868358217611164,0.43638467675539777,0.009615549001329122,0.35614427817585936,0.0020340932171331524,0.8731612531225961
GSF_112,Unweighted,Forces,1980,0.05698063149007698,0.07915602187033889,0.10026115908025994,0.051283900044834886,19.903554039832034,0.9973699615961914
GSF_112,Unweighted,Stress,132,2068.824702820043,0.007384907601713377,3116.2365442291157,0.011114886804381519,1281842786.3457508,0.9998764592913257
GSF_112,Weighted,Combined,2134,0.061822053414435696,0.0035693615745460306,0.1373270170971886,0.0008416302277599551,40.24448633934779,0.9999992916585597
GSF_112,Weighted,Energy,22,0.868358217611165,0.43638467675539566,0.9615549001329111,0.3561442781758569,20.340932171331477,0.8731612531225978
GSF_112,Weighted,Forces,1980,0.05698063149007698,0.07915602187033889,0.10026115908025994,0.051283900044834886,19.903554039832034,0.9973699615961914
GSF_112,Weighted,Stress,132,2.068824702820045e-05,0.007384907601713384,3.1162365442291185e-05,0.01111488680438153,1.281842786345753e-07,0.9998764592913257
Liquid,Unweighted,Combined,921,839.216429949467,0.08496778600490822,8187.377431918366,0.08305755694573122,61737530424.88397,0.9931014422342066
Liquid,Unweighted,Energy,3,0.005668041920028935,0.06830984726715755,0.006555887005526583,0.06313851463001906,0.00012893896328769694,0.9960135279703148
Liquid,Unweighted,Forces,900,0.3537949738700021,0.2170693172126924,0.4836463504201875,0.22848787527875045,210.52241304729012,0.9477932908506022
Liquid,Unweighted,Stress,18,42922.21663904724,0.08586253311254853,58565.03043358508,0.11712300173384084,61737530214.361435,0.9862822024648548
Liquid,Weighted,Combined,921,0.3543584464842102,0.013648226995219023,0.5090309167932252,0.0011940321980300269,238.6425887854946,0.99999857428711
Liquid,Weighted,Energy,3,2.6469755766535554,0.0683098472671591,3.0615992315809653,0.06313851463002049,28.120169564451473,0.9960135279703147
Liquid,Weighted,Forces,900,0.3537949738700021,0.2170693172126924,0.4836463504201875,0.22848787527875045,210.52241304729012,0.9477932908506022
Liquid,Weighted,Stress,18,0.00042922216639047246,0.08586253311254854,0.000585650304335851,0.11712300173384088,6.173753021436146e-06,0.9862822024648548
Surface,Unweighted,Combined,757,128.1748224850662,0.008048866144759208,1007.5740646173341,0.010684218244845256,768510560.2369483,0.9998858474804965
Surface,Unweighted,Energy,7,0.013523175893614387,0.12544472568687162,0.01571229180243485,0.1087743054945195,0.0017281327957940301,0.9881681504641849
Surface,Unweighted,Forces,708,0.047601034102599166,0.08219863325680812,0.10895429304446211,0.05728604725189708,8.404694884755514,0.9967183087902534
Surface,Unweighted,Stress,42,2309.393914924266,0.00805313470296041,4277.600996081703,0.014892290712480634,768510551.8305252,0.9997782196773349
Surface,Weighted,Combined,757,0.05702605708799821,0.0036853127307709924,0.1842046092548603,0.0011916528700557927,25.68602291954697,0.9999985799634373
Surface,Weighted,Energy,7,1.3523175893614539,0.12544472568687315,1.5712291802434897,0.10877430549451984,17.2813279579404,0.9881681504641848
Surface,Weighted,Forces,708,0.047601034102599166,0.08219863325680812,0.10895429304446211,0.05728604725189708,8.404694884755514,0.9967183087902534
Surface,Weighted,Stress,42,2.309393914924266e-05,0.00805313470296041,4.2776009960816994e-05,0.014892290712480622,7.685105518305241e-08,0.9997782196773349
Volume_A15,Unweighted,Combined,930,25729.768372367533,0.14591045265569252,157241.28273782742,0.19482266434541862,22994083527244.766,0.9620441294573524
Volume_A15,Unweighted,Energy,30,0.24579115592133086,0.04143605360121678,0.3448909219072181,0.04676758535235503,3.568492440420324,0.9978127929603102
Volume_A15,Unweighted,Forces,720,3.952672573507103e-15,0.6714764857230048,1.0378744685224138e-14,0.4562928483129551,7.755720569356915e-26,0.7917968365784506
Volume_A15,Unweighted,Stress,180,132937.09562537295,0.145910869737137,357414.19737424154,0.21766847276442758,22994083527241.195,0.9526204359644016
